Date,SPY,^VIX
1993-02-01,24.28476333618164,12.329999923706055
1993-02-02,24.33620834350586,12.25
1993-02-03,24.593460083007812,12.119999885559082
1993-02-04,24.696374893188477,12.289999961853027
1993-02-05,24.679229736328125,12.899999618530273
1993-02-08,24.679229736328125,13.220000267028809
1993-02-09,24.507728576660156,13.479999542236328
1993-02-10,24.542024612426758,13.430000305175781
1993-02-11,24.662071228027344,12.6899995803833
1993-02-12,24.473413467407227,12.380000114440918
1993-02-16,23.856016159057617,15.760000228881836
1993-02-17,23.838857650756836,15.899999618530273
1993-02-18,23.821704864501953,15.5600004196167
1993-02-19,23.907468795776367,15.020000457763672
1993-02-22,23.993209838867188,14.699999809265137
1993-02-23,23.97606086730957,15.039999961853027
1993-02-24,24.28476333618164,14.720000267028809
1993-02-25,24.33620834350586,13.760000228881836
1993-02-26,24.370521545410156,13.15999984741211
1993-03-01,24.301923751831055,13.600000381469727
1993-03-02,24.662071228027344,12.489999771118164
1993-03-03,24.764968872070312,13.130000114440918
1993-03-04,24.627761840820312,13.4399995803833
1993-03-05,24.559162139892578,14.079999923706055
1993-03-08,25.10797882080078,16.219999313354492
1993-03-09,25.022226333618164,14.170000076293945
1993-03-10,25.073678970336914,13.90999984741211
1993-03-11,25.005081176757812,14.260000228881836
1993-03-12,24.747817993164062,15.65999984741211
1993-03-15,24.86786651611328,14.739999771118164
1993-03-16,24.86786651611328,14.510000228881836
1993-03-17,24.713529586791992,14.529999732971191
1993-03-18,24.86786651611328,14.170000076293945
1993-03-19,24.830245971679688,13.229999542236328
1993-03-22,24.692380905151367,13.65999984741211
1993-03-23,24.744081497192383,13.020000457763672
1993-03-24,24.744081497192383,12.4399995803833
1993-03-25,24.899158477783203,12.079999923706055
1993-03-26,24.761316299438477,12.210000038146973
1993-03-29,24.864700317382812,12.630000114440918
1993-03-30,24.933610916137695,12.229999542236328
1993-03-31,24.916400909423828,12.529999732971191
1993-04-01,24.830245971679688,13.020000457763672
1993-04-02,24.31330108642578,14.5
1993-04-05,24.433914184570312,14.119999885559082
1993-04-06,24.3649845123291,14.239999771118164
1993-04-07,24.45115852355957,13.640000343322754
1993-04-08,24.416677474975586,12.829999923706055
1993-04-12,24.761316299438477,11.930000305175781
1993-04-13,24.813013076782227,11.699999809265137
1993-04-14,24.778532028198242,11.760000228881836
1993-04-15,24.778532028198242,10.960000038146973
1993-04-16,24.778532028198242,11.289999961853027
1993-04-19,24.67516326904297,12.0600004196167
1993-04-20,24.554533004760742,11.9399995803833
1993-04-21,24.537311553955078,12.109999656677246
1993-04-22,24.22714614868164,12.680000305175781
1993-04-23,24.123760223388672,13.359999656677246
1993-04-26,23.93421173095703,15.25
1993-04-27,24.192691802978516,13.930000305175781
1993-04-28,24.1409854888916,13.119999885559082
1993-04-29,24.2443790435791,12.800000190734863
1993-04-30,24.278837203979492,12.420000076293945
1993-05-03,24.433914184570312,12.899999618530273
1993-05-04,24.520063400268555,12.140000343322754
1993-05-05,24.58900260925293,12.380000114440918
1993-05-06,24.502826690673828,13.220000267028809
1993-05-07,24.45115852355957,13.010000228881836
1993-05-10,24.502826690673828,13.720000267028809
1993-05-11,24.606225967407227,13.350000381469727
1993-05-12,24.57176399230957,13.5600004196167
1993-05-13,24.278837203979492,14.760000228881836
1993-05-14,24.26161003112793,14.390000343322754
1993-05-17,24.34776496887207,14.130000114440918
1993-05-18,24.330547332763672,14.1899995803833
1993-05-19,24.830245971679688,14.289999961853027
1993-05-20,24.899158477783203,13.979999542236328
1993-05-21,24.67516326904297,14.510000228881836
1993-05-24,24.778532028198242,14.100000381469727
1993-05-25,24.830245971679688,14.039999961853027
1993-05-26,25.140411376953125,12.880000114440918
1993-05-27,25.05425262451172,13.100000381469727
1993-05-28,24.933610916137695,13.470000267028809
1993-06-01,25.17486000061035,13.670000076293945
1993-06-02,25.140411376953125,13.479999542236328
1993-06-03,25.05425262451172,13.539999961853027
1993-06-04,24.968080520629883,12.859999656677246
1993-06-07,24.881929397583008,14.069999694824219
1993-06-08,24.657934188842773,14.739999771118164
1993-06-09,24.744081497192383,13.960000038146973
1993-06-10,24.761316299438477,13.3100004196167
1993-06-11,24.864700317382812,12.710000038146973
1993-06-14,24.830245971679688,12.329999923706055
1993-06-15,24.778532028198242,11.989999771118164
1993-06-16,24.830245971679688,11.869999885559082
1993-06-17,24.916400909423828,11.65999984741211
1993-06-18,24.71120834350586,12.239999771118164
1993-06-21,24.763275146484375,12.25
1993-06-22,24.780622482299805,11.649999618530273
1993-06-23,24.555025100708008,12.039999961853027
1993-06-24,24.884735107421875,12.25
1993-06-25,24.86738395690918,11.25
1993-06-28,25.145038604736328,11.109999656677246
